Lon	 Lat
-26.040000	 7.310000
-25.000000	 7.690000
-23.940000	 8.040000
-22.870000	 8.380000
-21.790000	 8.700000
-20.700000	 9.000000
-19.600000	 9.280000
-18.500000	 9.540000
-17.400000	 9.780000
-16.280000	 10.000000
-15.170000	 10.200000
-14.050000	 10.380000
-12.930000	 10.540000
-11.810000	 10.680000
-10.690000	 10.800000
-9.570000	 10.910000
-8.450000	 11.000000
-7.330000	 11.070000
-6.210000	 11.130000
-5.100000	 11.180000
-3.990000	 11.210000
-3.430000	 11.220000
-2.880000	 11.230000
-2.330000	 11.240000
-1.770000	 11.250000
-0.670000	 11.250000
0.420000	 11.250000
1.510000	 11.240000
2.050000	 11.230000
2.600000	 11.220000
3.140000	 11.210000
3.680000	 11.200000
4.220000	 11.190000
4.760000	 11.180000
5.290000	 11.160000
5.830000	 11.150000
6.360000	 11.140000
6.890000	 11.120000
7.430000	 11.110000
7.960000	 11.090000
8.490000	 11.070000
9.020000	 11.060000
9.540000	 11.040000
10.070000	 11.020000
10.590000	 11.000000
11.120000	 10.990000
11.640000	 10.970000
12.160000	 10.950000
12.690000	 10.930000
13.210000	 10.910000
13.730000	 10.890000
14.240000	 10.870000
14.760000	 10.850000
15.280000	 10.830000
15.790000	 10.810000
16.310000	 10.790000
17.330000	 10.750000
18.360000	 10.700000
19.380000	 10.650000
20.390000	 10.600000
21.410000	 10.540000
22.420000	 10.480000
23.430000	 10.410000
24.430000	 10.340000
25.440000	 10.270000
26.440000	 10.190000
27.440000	 10.100000
28.440000	 10.010000
29.430000	 9.920000
30.420000	 9.820000
31.420000	 9.720000
32.400000	 9.610000
33.390000	 9.500000
34.380000	 9.390000
35.370000	 9.280000
36.350000	 9.160000
37.330000	 9.040000
38.320000	 8.930000
39.300000	 8.810000
40.280000	 8.700000
41.270000	 8.590000
42.250000	 8.480000
43.230000	 8.380000
44.210000	 8.280000
45.200000	 8.180000
46.180000	 8.090000
47.170000	 8.010000
48.150000	 7.930000
49.140000	 7.860000
50.130000	 7.800000
51.110000	 7.750000
52.110000	 7.700000
53.100000	 7.660000
54.090000	 7.630000
55.080000	 7.600000
56.080000	 7.580000
57.080000	 7.570000
58.080000	 7.560000
59.080000	 7.570000
60.080000	 7.570000
61.080000	 7.580000
